row,s,dis,displayName,jerseyNumber
58046,3.25,0.33,Brandon Bolden,38
58047,3.25,0.33,Brandon Bolden,38
58048,3.22,0.32,Brandon Bolden,38
58049,3.21,0.32,Brandon Bolden,38
58050,3.15,0.32,Brandon Bolden,38
58051,2.99,0.3,Brandon Bolden,38
58052,2.91,0.29,Brandon Bolden,38
58053,2.88,0.3,Brandon Bolden,38
58054,0.14,0.01,Deon Lacey,44
58055,0.23,0.03,Deon Lacey,44
58056,0.2,0.02,Deon Lacey,44
58057,0.16,0.02,Deon Lacey,44
58058,0.18,0.02,Deon Lacey,44
58059,0.14,0.01,Deon Lacey,44
58060,0.23,0.02,Deon Lacey,44
58061,0.39,0.03,Deon Lacey,44
58062,0.58,0.05,Deon Lacey,44
58063,0.91,0.08,Deon Lacey,44
58064,1.31,0.12,Deon Lacey,44
58065,1.68,0.16,Deon Lacey,44
58066,2.19,0.22,Deon Lacey,44
58067,2.63,0.25,Deon Lacey,44
58068,3.11,0.3,Deon Lacey,44
58069,3.48,0.33,Deon Lacey,44
58070,3.91,0.38,Deon Lacey,44
58071,4.43,0.43,Deon Lacey,44
58072,4.85,0.47,Deon Lacey,44
58073,5.15,0.5,Deon Lacey,44
58074,5.6,0.55,Deon Lacey,44
58075,5.87,0.58,Deon Lacey,44
58076,6.21,0.61,Deon Lacey,44
58077,6.48,0.64,Deon Lacey,44
58078,6.69,0.67,Deon Lacey,44
58079,6.93,0.69,Deon Lacey,44
58080,7.12,0.71,Deon Lacey,44
58081,7.23,0.72,Deon Lacey,44
58082,7.29,0.73,Deon Lacey,44
58083,7.42,0.75,Deon Lacey,44
58084,7.42,0.74,Deon Lacey,44
58085,7.37,0.74,Deon Lacey,44
58086,7.3,0.73,Deon Lacey,44
58087,7.05,0.71,Deon Lacey,44
58088,6.91,0.7,Deon Lacey,44
58089,6.59,0.67,Deon Lacey,44
58090,6.18,0.63,Deon Lacey,44
58091,5.53,0.57,Deon Lacey,44
58092,4.85,0.5,Deon Lacey,44
58093,4.2,0.44,Deon Lacey,44
58094,3.29,0.35,Deon Lacey,44
58095,2.46,0.28,Deon Lacey,44
58096,1.7,0.2,Deon Lacey,44
58097,0.98,0.12,Deon Lacey,44
58098,0.61,0.07,Deon Lacey,44
58099,1.06,0.09,Deon Lacey,44
58100,1.57,0.13,Deon Lacey,44
58101,2.02,0.18,Deon Lacey,44
58102,2.37,0.22,Deon Lacey,44
58103,2.55,0.24,Deon Lacey,44
58104,2.69,0.26,Deon Lacey,44
58105,2.73,0.27,Deon Lacey,44
58106,2.72,0.27,Deon Lacey,44
58107,2.67,0.27,Deon Lacey,44
58108,2.65,0.26,Deon Lacey,44
58109,2.69,0.27,Deon Lacey,44
58110,2.78,0.27,Deon Lacey,44
58111,2.9,0.28,Deon Lacey,44
58112,3.15,0.3,Deon Lacey,44
58113,3.36,0.33,Deon Lacey,44
58114,3.56,0.35,Deon Lacey,44
58115,3.8,0.37,Deon Lacey,44
58116,3.94,0.39,Deon Lacey,44
58117,4.09,0.4,Deon Lacey,44
58118,4.11,0.41,Deon Lacey,44
58119,4.2,0.42,Deon Lacey,44
58120,4.31,0.44,Deon Lacey,44
58121,4.35,0.44,Deon Lacey,44
58122,4.43,0.45,Deon Lacey,44
58123,4.45,0.45,Deon Lacey,44
58124,4.45,0.45,Deon Lacey,44
58125,4.39,0.44,Deon Lacey,44
58126,4.37,0.44,Deon Lacey,44
58127,4.43,0.45,Deon Lacey,44
58128,4.45,0.45,Deon Lacey,44
58129,4.41,0.44,Deon Lacey,44
58130,4.37,0.44,Deon Lacey,44
58131,4.35,0.44,Deon Lacey,44
58132,4.34,0.44,Deon Lacey,44
58133,4.34,0.44,Deon Lacey,44
58134,4.29,0.43,Deon Lacey,44
58135,4.18,0.42,Deon Lacey,44
58136,4.1,0.42,Deon Lacey,44
58137,4.07,0.41,Deon Lacey,44
58138,4.02,0.41,Deon Lacey,44
58139,3.94,0.4,Deon Lacey,44
58140,3.82,0.39,Deon Lacey,44
58141,3.64,0.36,Deon Lacey,44
58142,3.5,0.36,Deon Lacey,44
58143,3.32,0.34,Deon Lacey,44
58144,3.16,0.32,Deon Lacey,44
58145,3.08,0.32,Deon Lacey,44
58146,2.99,0.31,Deon Lacey,44
58147,0.09,0.01,Logan Thomas,82
58148,0.1,0.01,Logan Thomas,82
58149,0.06,0.01,Logan Thomas,82
58150,0.07,0.01,Logan Thomas,82
58151,0.02,0,Logan Thomas,82
58152,0.07,0.01,Logan Thomas,82
58153,0.11,0.01,Logan Thomas,82
58154,0.2,0.02,Logan Thomas,82
58155,0.37,0.04,Logan Thomas,82
58156,0.58,0.06,Logan Thomas,82
58157,0.81,0.08,Logan Thomas,82
58158,1.08,0.11,Logan Thomas,82
58159,1.29,0.13,Logan Thomas,82
58160,1.51,0.15,Logan Thomas,82
58161,1.74,0.17,Logan Thomas,82
58162,1.94,0.19,Logan Thomas,82
58163,2.1,0.21,Logan Thomas,82
58164,2.25,0.22,Logan Thomas,82
58165,2.38,0.24,Logan Thomas,82
58166,2.35,0.23,Logan Thomas,82
58167,2.34,0.23,Logan Thomas,82
58168,2.23,0.23,Logan Thomas,82
58169,2.12,0.22,Logan Thomas,82
58170,2,0.21,Logan Thomas,82
58171,1.87,0.19,Logan Thomas,82
58172,1.6,0.16,Logan Thomas,82
58173,1.44,0.15,Logan Thomas,82
58174,1.26,0.13,Logan Thomas,82
58175,1.14,0.12,Logan Thomas,82
58176,1.04,0.11,Logan Thomas,82
58177,0.99,0.1,Logan Thomas,82
58178,0.9,0.09,Logan Thomas,82
58179,0.96,0.09,Logan Thomas,82
58180,1.14,0.11,Logan Thomas,82
58181,1.37,0.13,Logan Thomas,82
58182,1.66,0.16,Logan Thomas,82
58183,1.89,0.18,Logan Thomas,82
58184,2.12,0.21,Logan Thomas,82
58185,2.34,0.23,Logan Thomas,82
58186,2.8,0.29,Logan Thomas,82
58187,3.06,0.3,Logan Thomas,82
58188,3.26,0.32,Logan Thomas,82
58189,3.61,0.35,Logan Thomas,82
58190,3.92,0.38,Logan Thomas,82
58191,4.13,0.4,Logan Thomas,82
58192,4.43,0.43,Logan Thomas,82
58193,4.63,0.46,Logan Thomas,82
58194,4.71,0.46,Logan Thomas,82
58195,4.89,0.49,Logan Thomas,82
58196,5.1,0.51,Logan Thomas,82
58197,5.18,0.52,Logan Thomas,82
58198,5.21,0.52,Logan Thomas,82
58199,5.24,0.53,Logan Thomas,82
58200,5.18,0.52,Logan Thomas,82
58201,5.03,0.51,Logan Thomas,82
58202,4.87,0.49,Logan Thomas,82
58203,4.7,0.48,Logan Thomas,82
58204,4.53,0.46,Logan Thomas,82
58205,4.35,0.44,Logan Thomas,82
58206,4.26,0.44,Logan Thomas,82
58207,4.18,0.43,Logan Thomas,82
58208,4.15,0.42,Logan Thomas,82
58209,4.15,0.42,Logan Thomas,82
58210,4.13,0.42,Logan Thomas,82
58211,4.12,0.42,Logan Thomas,82
58212,4.09,0.41,Logan Thomas,82
58213,4.08,0.41,Logan Thomas,82
58214,4.11,0.42,Logan Thomas,82
58215,4.13,0.42,Logan Thomas,82
58216,4.03,0.4,Logan Thomas,82
58217,3.86,0.39,Logan Thomas,82
58218,3.64,0.37,Logan Thomas,82
58219,3.45,0.35,Logan Thomas,82
58220,3.26,0.33,Logan Thomas,82
58221,3.06,0.31,Logan Thomas,82
58222,2.98,0.3,Logan Thomas,82
58223,3.01,0.3,Logan Thomas,82
58224,3.03,0.3,Logan Thomas,82
58225,3.11,0.31,Logan Thomas,82
58226,3.03,0.3,Logan Thomas,82
58227,2.71,0.26,Logan Thomas,82
58228,2.31,0.23,Logan Thomas,82
58229,1.94,0.2,Logan Thomas,82
58230,1.63,0.17,Logan Thomas,82
58231,1.38,0.15,Logan Thomas,82
58232,1.31,0.14,Logan Thomas,82
58233,1.36,0.14,Logan Thomas,82
58234,1.46,0.15,Logan Thomas,82
58235,1.65,0.17,Logan Thomas,82
58236,1.74,0.17,Logan Thomas,82
58237,1.82,0.18,Logan Thomas,82
58238,1.92,0.19,Logan Thomas,82
58239,2,0.2,Logan Thomas,82
58240,0.11,0.01,Walt Aikens,35
58241,0.1,0.01,Walt Aikens,35
58242,0.12,0.01,Walt Aikens,35
58243,0.13,0.01,Walt Aikens,35
58244,0.13,0.01,Walt Aikens,35
58245,0.12,0.01,Walt Aikens,35
58246,0.16,0.01,Walt Aikens,35
58247,0.27,0.02,Walt Aikens,35
58248,0.45,0.04,Walt Aikens,35
58249,0.62,0.06,Walt Aikens,35
58250,1.08,0.1,Walt Aikens,35
58251,1.49,0.14,Walt Aikens,35
58252,1.9,0.18,Walt Aikens,35
58253,2.53,0.24,Walt Aikens,35
58254,3.23,0.31,Walt Aikens,35
58255,3.77,0.36,Walt Aikens,35
58256,4.31,0.41,Walt Aikens,35
58257,4.8,0.46,Walt Aikens,35
58258,5.23,0.5,Walt Aikens,35
58259,5.62,0.55,Walt Aikens,35
58260,5.96,0.59,Walt Aikens,35
58261,6.34,0.63,Walt Aikens,35
58262,6.69,0.67,Walt Aikens,35
58263,6.89,0.69,Walt Aikens,35
58264,7.07,0.71,Walt Aikens,35
58265,7.23,0.72,Walt Aikens,35
58266,7.33,0.73,Walt Aikens,35
58267,7.55,0.76,Walt Aikens,35
58268,7.65,0.77,Walt Aikens,35
58269,7.67,0.77,Walt Aikens,35
58270,7.78,0.79,Walt Aikens,35
58271,7.95,0.81,Walt Aikens,35
58272,8.02,0.81,Walt Aikens,35
58273,8.1,0.82,Walt Aikens,35
58274,8.1,0.82,Walt Aikens,35
58275,8.17,0.83,Walt Aikens,35
58276,8.2,0.82,Walt Aikens,35
58277,8.28,0.83,Walt Aikens,35
58278,8.33,0.84,Walt Aikens,35
58279,8.41,0.85,Walt Aikens,35
58280,8.4,0.85,Walt Aikens,35
58281,8.31,0.84,Walt Aikens,35
58282,8.22,0.83,Walt Aikens,35
58283,8.21,0.84,Walt Aikens,35
58284,8.25,0.84,Walt Aikens,35
58285,8.2,0.83,Walt Aikens,35
58286,8.22,0.84,Walt Aikens,35
58287,8.22,0.84,Walt Aikens,35
58288,8.24,0.84,Walt Aikens,35
58289,8.24,0.84,Walt Aikens,35
58290,8.2,0.83,Walt Aikens,35
58291,8.21,0.83,Walt Aikens,35
58292,8.21,0.83,Walt Aikens,35
58293,8.2,0.83,Walt Aikens,35
58294,8.33,0.86,Walt Aikens,35
58295,8.23,0.83,Walt Aikens,35
58296,8.13,0.82,Walt Aikens,35
58297,8.04,0.82,Walt Aikens,35
58298,7.91,0.8,Walt Aikens,35
58299,7.75,0.79,Walt Aikens,35
58300,7.54,0.76,Walt Aikens,35
58301,7.31,0.74,Walt Aikens,35
58302,7.03,0.71,Walt Aikens,35
58303,6.99,0.72,Walt Aikens,35
58304,6.88,0.7,Walt Aikens,35
58305,6.89,0.7,Walt Aikens,35
58306,6.96,0.71,Walt Aikens,35
58307,7.03,0.71,Walt Aikens,35
58308,7.03,0.7,Walt Aikens,35
58309,7.04,0.7,Walt Aikens,35
58310,7.19,0.73,Walt Aikens,35
58311,7.21,0.72,Walt Aikens,35
58312,7.22,0.73,Walt Aikens,35
58313,7.39,0.75,Walt Aikens,35
58314,7.47,0.76,Walt Aikens,35
58315,7.5,0.75,Walt Aikens,35
58316,7.49,0.75,Walt Aikens,35
58317,7.49,0.76,Walt Aikens,35
58318,7.48,0.75,Walt Aikens,35
58319,7.41,0.75,Walt Aikens,35
58320,7.25,0.73,Walt Aikens,35
58321,7.07,0.71,Walt Aikens,35
58322,6.83,0.69,Walt Aikens,35
58323,6.61,0.67,Walt Aikens,35
58324,6.45,0.66,Walt Aikens,35
58325,6.15,0.63,Walt Aikens,35
58326,5.79,0.59,Walt Aikens,35
58327,5.41,0.55,Walt Aikens,35
58328,5,0.51,Walt Aikens,35
58329,4.59,0.47,Walt Aikens,35
58330,4.19,0.43,Walt Aikens,35
58331,3.81,0.39,Walt Aikens,35
58332,3.41,0.35,Walt Aikens,35
58333,0.09,0.01,Senorise Perry,34
58334,0.14,0.01,Senorise Perry,34
58335,0.12,0.01,Senorise Perry,34
58336,0.13,0.01,Senorise Perry,34
58337,0.15,0.01,Senorise Perry,34
58338,0.38,0.03,Senorise Perry,34
58339,0.69,0.06,Senorise Perry,34
58340,0.98,0.09,Senorise Perry,34
58341,1.46,0.15,Senorise Perry,34
58342,1.96,0.2,Senorise Perry,34
58343,2.45,0.24,Senorise Perry,34
58344,2.98,0.29,Senorise Perry,34
58345,3.57,0.35,Senorise Perry,34
58346,4.03,0.38,Senorise Perry,34
58347,4.48,0.43,Senorise Perry,34
58348,4.96,0.48,Senorise Perry,34
58349,5.5,0.54,Senorise Perry,34
58350,5.95,0.58,Senorise Perry,34
58351,6.33,0.62,Senorise Perry,34
58352,6.64,0.65,Senorise Perry,34
58353,6.94,0.68,Senorise Perry,34
58354,7.18,0.71,Senorise Perry,34
58355,7.37,0.74,Senorise Perry,34
58356,7.56,0.75,Senorise Perry,34
58357,7.7,0.77,Senorise Perry,34
58358,7.83,0.79,Senorise Perry,34
58359,8.02,0.81,Senorise Perry,34
58360,8.16,0.82,Senorise Perry,34
58361,8.18,0.82,Senorise Perry,34
58362,8.2,0.83,Senorise Perry,34
58363,8.35,0.85,Senorise Perry,34
58364,8.53,0.87,Senorise Perry,34
58365,8.57,0.86,Senorise Perry,34
58366,8.63,0.87,Senorise Perry,34
58367,8.72,0.88,Senorise Perry,34
58368,8.78,0.88,Senorise Perry,34
58369,8.84,0.88,Senorise Perry,34
58370,8.94,0.89,Senorise Perry,34
58371,9.02,0.9,Senorise Perry,34
58372,9.04,0.91,Senorise Perry,34
58373,9.1,0.92,Senorise Perry,34
58374,9.18,0.93,Senorise Perry,34
58375,9.14,0.92,Senorise Perry,34
58376,9.01,0.91,Senorise Perry,34
58377,9.03,0.92,Senorise Perry,34
58378,8.92,0.9,Senorise Perry,34
58379,8.75,0.89,Senorise Perry,34
58380,8.61,0.87,Senorise Perry,34
58381,8.46,0.86,Senorise Perry,34
58382,8.39,0.85,Senorise Perry,34
58383,8.27,0.84,Senorise Perry,34
58384,8.18,0.83,Senorise Perry,34
58385,8.14,0.82,Senorise Perry,34
58386,8.07,0.81,Senorise Perry,34
58387,8,0.8,Senorise Perry,34
58388,7.87,0.79,Senorise Perry,34
58389,7.58,0.76,Senorise Perry,34
58390,7.37,0.75,Senorise Perry,34
58391,6.78,0.66,Senorise Perry,34
58392,6.27,0.62,Senorise Perry,34
58393,5.8,0.58,Senorise Perry,34
58394,5.29,0.53,Senorise Perry,34
58395,4.91,0.51,Senorise Perry,34
58396,4.55,0.47,Senorise Perry,34
58397,4.28,0.44,Senorise Perry,34
58398,4.25,0.44,Senorise Perry,34
58399,4.3,0.45,Senorise Perry,34
58400,4.35,0.45,Senorise Perry,34
58401,4.62,0.48,Senorise Perry,34
58402,4.85,0.49,Senorise Perry,34
58403,5.36,0.56,Senorise Perry,34
58404,5.55,0.55,Senorise Perry,34
58405,5.65,0.56,Senorise Perry,34
58406,5.81,0.58,Senorise Perry,34
58407,5.91,0.59,Senorise Perry,34
58408,5.89,0.59,Senorise Perry,34
58409,5.75,0.57,Senorise Perry,34
58410,5.66,0.57,Senorise Perry,34
58411,5.48,0.55,Senorise Perry,34
58412,5.14,0.52,Senorise Perry,34
58413,4.76,0.49,Senorise Perry,34
58414,4.41,0.45,Senorise Perry,34
58415,4.12,0.43,Senorise Perry,34
58416,3.69,0.38,Senorise Perry,34
58417,3.12,0.31,Senorise Perry,34
58418,2.61,0.27,Senorise Perry,34
58419,2.11,0.22,Senorise Perry,34
58420,1.66,0.18,Senorise Perry,34
58421,1.29,0.15,Senorise Perry,34
58422,1,0.11,Senorise Perry,34
58423,0.77,0.09,Senorise Perry,34
58424,0.59,0.07,Senorise Perry,34
58425,0.44,0.05,Senorise Perry,34
58426,0.22,0.02,Stephone Anthony,44
58427,0.22,0.02,Stephone Anthony,44
58428,0.2,0.02,Stephone Anthony,44
58429,0.22,0.02,Stephone Anthony,44
58430,0.22,0.02,Stephone Anthony,44
58431,0.27,0.03,Stephone Anthony,44
58432,0.38,0.04,Stephone Anthony,44
58433,0.71,0.07,Stephone Anthony,44
58434,0.82,0.08,Stephone Anthony,44
58435,1.08,0.12,Stephone Anthony,44
58436,1.67,0.21,Stephone Anthony,44
58437,1.97,0.2,Stephone Anthony,44
58438,2.32,0.23,Stephone Anthony,44
58439,2.61,0.25,Stephone Anthony,44
58440,3.16,0.3,Stephone Anthony,44
58441,3.67,0.34,Stephone Anthony,44
58442,4.34,0.41,Stephone Anthony,44
58443,4.79,0.46,Stephone Anthony,44
58444,5.28,0.51,Stephone Anthony,44
58445,5.69,0.56,Stephone Anthony,44
58446,6.06,0.6,Stephone Anthony,44
58447,6.31,0.62,Stephone Anthony,44
58448,6.55,0.65,Stephone Anthony,44
58449,6.7,0.67,Stephone Anthony,44
58450,6.82,0.68,Stephone Anthony,44
58451,6.96,0.7,Stephone Anthony,44
58452,7.1,0.72,Stephone Anthony,44
58453,7.14,0.72,Stephone Anthony,44
58454,7.2,0.73,Stephone Anthony,44
58455,7.26,0.74,Stephone Anthony,44
58456,7.34,0.75,Stephone Anthony,44
58457,7.4,0.75,Stephone Anthony,44
58458,7.47,0.75,Stephone Anthony,44
58459,7.49,0.75,Stephone Anthony,44
58460,7.5,0.76,Stephone Anthony,44
58461,7.6,0.77,Stephone Anthony,44
58462,7.57,0.76,Stephone Anthony,44
58463,7.67,0.78,Stephone Anthony,44
58464,7.7,0.78,Stephone Anthony,44
58465,7.82,0.8,Stephone Anthony,44
58466,7.88,0.8,Stephone Anthony,44
58467,7.87,0.79,Stephone Anthony,44
58468,7.82,0.79,Stephone Anthony,44
58469,7.9,0.8,Stephone Anthony,44
58470,7.89,0.8,Stephone Anthony,44
58471,7.91,0.8,Stephone Anthony,44
58472,7.83,0.79,Stephone Anthony,44
58473,7.76,0.79,Stephone Anthony,44
58474,7.72,0.79,Stephone Anthony,44
58475,7.67,0.78,Stephone Anthony,44
58476,7.54,0.76,Stephone Anthony,44
58477,7.42,0.75,Stephone Anthony,44
58478,7.37,0.75,Stephone Anthony,44
58479,7.23,0.73,Stephone Anthony,44
58480,7.11,0.72,Stephone Anthony,44
58481,7.01,0.71,Stephone Anthony,44
58482,6.93,0.71,Stephone Anthony,44
58483,6.82,0.69,Stephone Anthony,44
58484,6.67,0.67,Stephone Anthony,44
58485,6.55,0.66,Stephone Anthony,44
58486,6.41,0.65,Stephone Anthony,44
58487,6.24,0.63,Stephone Anthony,44
58488,6.09,0.61,Stephone Anthony,44
58489,5.95,0.6,Stephone Anthony,44
58490,5.92,0.6,Stephone Anthony,44
58491,5.91,0.6,Stephone Anthony,44
58492,6,0.6,Stephone Anthony,44
58493,6.16,0.62,Stephone Anthony,44
58494,6.33,0.64,Stephone Anthony,44
58495,6.46,0.65,Stephone Anthony,44
58496,6.47,0.65,Stephone Anthony,44
58497,6.43,0.64,Stephone Anthony,44
58498,6.36,0.64,Stephone Anthony,44
58499,6.21,0.63,Stephone Anthony,44
58500,6.12,0.63,Stephone Anthony,44
58501,5.9,0.6,Stephone Anthony,44
58502,5.45,0.54,Stephone Anthony,44
58503,5.2,0.54,Stephone Anthony,44
58504,4.89,0.5,Stephone Anthony,44
58505,4.65,0.48,Stephone Anthony,44
58506,4.44,0.46,Stephone Anthony,44
58507,4.26,0.44,Stephone Anthony,44
58508,4.17,0.44,Stephone Anthony,44
58509,4.07,0.42,Stephone Anthony,44
58510,3.96,0.41,Stephone Anthony,44
58511,3.88,0.4,Stephone Anthony,44
58512,3.77,0.38,Stephone Anthony,44
58513,3.7,0.38,Stephone Anthony,44
58514,3.6,0.37,Stephone Anthony,44
58515,3.53,0.36,Stephone Anthony,44
